rank,kanji,count,on_readings,kun_readings,nanori,meanings_en
427,城,2858460,,,,
428,係,2853456,,,,
429,階,2846720,,,,
430,腰,2835654,,,,
431,夢,2830519,,,,
432,四,2828325,,,,
433,容,2822050,,,,
434,送,2813616,,,,
435,奥,2803876,,,,
436,響,2802348,,,,
437,香,2790412,,,,
438,更,2778278,,,,
439,破,2777360,,,,
440,霊,2769599,,,,
441,休,2768448,,,,
442,影,2761241,,,,
443,護,2759374,,,,
444,片,2755506,,,,
445,耳,2750401,,,,
446,端,2740130,,,,
447,礼,2739425,,,,
448,嬉,2735361,,,,
449,件,2723728,,,,
450,微,2717543,,,,
451,買,2709128,,,,
452,具,2705146,,,,
453,念,2702200,,,,
454,危,2699833,,,,
455,原,2681405,,,,
456,去,2675834,,,,
457,壁,2674158,,,,
458,細,2673718,,,,
459,議,2663056,,,,
460,許,2650711,,,,
461,冒,2635780,,,,
462,獣,2624583,,,,
463,種,2621954,,,,
464,左,2614206,,,,
465,吸,2612538,,,,
466,治,2609661,,,,
467,聖,2604309,,,,
468,制,2604206,,,,
469,電,2599717,,,,
470,肩,2599635,,,,
471,投,2587269,,,,
472,計,2586563,,,,
473,握,2584701,,,,
474,画,2570432,,,,
475,況,2566730,,,,
476,験,2565415,,,,
477,激,2551160,,,,
478,怪,2542156,,,,
479,役,2532706,,,,
480,熱,2529025,,,,
481,弾,2523109,,,,
482,社,2504180,,,,
483,襲,2503078,,,,
484,介,2496257,,,,
485,量,2493212,,,,
486,似,2485859,,,,
487,案,2483256,,,,
488,暗,2480060,,,,
489,森,2469489,,,,
490,字,2465954,,,,
491,未,2457444,,,,
492,示,2457335,,,,
493,警,2432280,,,,
494,技,2430651,,,,
495,泣,2425224,,,,
496,吐,2420143,,,,
497,困,2412586,,,,
498,宮,2404044,,,,
499,五,2397988,,,,
500,伸,2396052,,,,
501,試,2394032,,,,
502,割,2390685,,,,
503,壊,2367844,,,,
504,裏,2359443,,,,
505,防,2357496,,,,
506,保,2354701,,,,
507,支,2344780,,,,
508,隣,2335031,,,,
509,土,2334726,,,,
510,散,2317058,,,,
511,眠,2306114,,,,
512,興,2298219,,,,
513,民,2296966,,,,
514,悲,2290730,,,,
515,等,2286045,,,,
516,属,2280745,,,,
517,練,2279118,,,,
518,途,2273898,,,,
519,接,2271348,,,,
520,眼,2260763,,,,
521,衛,2253847,,,,
522,若,2253664,,,,
523,刺,2244054,,,,
524,注,2239063,,,,
525,竜,2232851,,,,
526,察,2231294,,,,
527,扉,2230974,,,,
528,収,2230065,,,,
529,住,2228384,,,,
530,揺,2223975,,,,
531,郎,2220132,,,,
532,増,2217204,,,,
533,麗,2214446,,,,
534,忘,2207963,,,,
535,叫,2200170,,,,
536,瞳,2199620,,,,
537,頷,2196684,,,,
538,徒,2196366,,,,
539,効,2196093,,,,
540,婚,2195428,,,,
541,惑,2189274,,,,
542,務,2175947,,,,
543,娘,2172797,,,,
544,姫,2163808,,,,
545,判,2160965,,,,
546,申,2159459,,,,
547,震,2157882,,,,
548,避,2156680,,,,
549,黙,2155416,,,,
550,駆,2147569,,,,
551,論,2146388,,,,
552,席,2144228,,,,
553,義,2142777,,,,
554,嬢,2139726,,,,
555,閉,2139153,,,,
556,弱,2138378,,,,
557,乱,2137986,,,,
558,恋,2137366,,,,
559,像,2134254,,,,
560,台,2130921,,,,
561,与,2129663,,,,
562,歳,2116562,,,,
563,迷,2113683,,,,
564,園,2113547,,,,
565,式,2108651,,,,
566,謝,2106937,,,,
567,門,2099151,,,,
568,準,2094724,,,,
569,領,2093082,,,,
570,昨,2081379,,,,
571,復,2074621,,,,
572,並,2074151,,,,
573,疑,2069444,,,,
574,簡,2068241,,,,
575,川,2064508,,,,
576,恥,2056234,,,,
577,叩,2055506,,,,
578,射,2033527,,,,
579,吹,2023212,,,,
580,久,2021659,,,,
581,爵,2019816,,,,
582,遅,2019268,,,,
583,舞,2018362,,,,
584,巻,2014930,,,,
585,束,2013724,,,,
586,凄,2011024,,,,
587,鬼,2003670,,,,
588,図,2002068,,,,
589,観,1998964,,,,
590,奈,1996685,,,,
591,刀,1995638,,,,
592,逆,1992221,,,,
593,頂,1991245,,,,
594,染,1991123,,,,
595,客,1989830,,,,
596,甘,1989229,,,,
597,景,1984170,,,,
598,星,1983453,,,,
599,千,1978753,,,,
600,遊,1972119,,,,
601,駄,1962446,,,,
602,売,1962248,,,,
603,帝,1957249,,,,
604,路,1950414,,,,
605,官,1948612,,,,
606,類,1947258,,,,
607,憶,1940188,,,,
608,疲,1938893,,,,
609,退,1937602,,,,
610,筋,1937316,,,,
611,令,1926472,,,,
612,華,1920245,,,,
613,級,1919944,,,,
614,暴,1918947,,,,
615,職,1909858,,,,
616,混,1905609,,,,
617,根,1904996,,,,
618,快,1903362,,,,
619,詰,1895001,,,,
620,薬,1894025,,,,
621,談,1892835,,,,
622,絡,1890813,,,,
623,済,1887467,,,,
624,妹,1885360,,,,
625,包,1883054,,,,
626,頑,1877813,,,,
627,滅,1876586,,,,
628,丸,1876486,,,,
629,参,1868219,,,,
630,掴,1866118,,,,
631,薄,1865649,,,,
632,求,1860628,,,,
633,涙,1860347,,,,
634,邪,1851657,,,,
635,町,1851252,,,,
636,商,1849231,,,,
637,草,1845290,,,,
638,紙,1842883,,,,
639,呟,1840917,,,,
640,越,1840864,,,,
641,設,1831861,,,,
642,習,1823380,,,,
643,脱,1822190,,,,
644,型,1818138,,,,
645,巨,1811823,,,,
646,角,1810496,,,,
647,低,1810454,,,,
648,導,1808949,,,,
649,育,1797646,,,,
650,固,1796997,,,,
651,害,1788471,,,,
652,陽,1787023,,,,
653,喜,1780849,,,,
654,宿,1777801,,,,
655,踏,1776897,,,,
656,頬,1772521,,,,
657,距,1768513,,,,
658,整,1765514,,,,
659,液,1764688,,,,
660,雪,1748788,,,,
661,病,1745105,,,,
662,万,1744919,,,,
663,罪,1744908,,,,
664,例,1744475,,,,
665,映,1742342,,,,
666,焼,1734572,,,,
667,象,1728303,,,,
668,依,1727048,,,,
669,樹,1726516,,,,
670,価,1725207,,,,
671,短,1722221,,,,
672,幼,1720524,,,,
673,輝,1717916,,,,
674,納,1704076,,,,
675,尻,1700535,,,,
676,互,1695255,,,,
677,鹿,1689472,,,,
678,夏,1689080,,,,
679,球,1685723,,,,
680,届,1680573,,,,
681,炎,1671463,,,,
682,建,1670025,,,,
683,払,1660911,,,,
